time,delta
58.56,29.89999999999999
58.56,29.966666666666654
58.56,29.96666666666667
58.56,30.0
58.56,30.0
58.56,29.96666666666667
58.56,29.96666666666667
58.57,29.86666666666666
58.57,29.83333333333333
58.57,29.799999999999997
58.57,29.766666666666666
58.57,29.700000000000003
58.57,29.63333333333334
58.57,29.566666666666677
58.57,29.53333333333333
58.57,29.433333333333337
58.57,29.39999999999999
58.58,29.36666666666666
58.58,29.299999999999997
58.58,29.30000000000001
58.58,29.333333333333343
58.58,29.333333333333343
58.58,29.333333333333343
58.58,29.33333333333333
58.58,29.33333333333333
58.58,29.366666666666674
58.58,29.400000000000006
58.59,29.36666666666666
58.59,29.299999999999997
58.59,29.233333333333334
58.59,29.200000000000003
58.59,29.10000000000001
58.59,29.066666666666663
58.59,29.03333333333333
58.59,29.0
58.59,28.933333333333337
58.59,28.900000000000006
58.6,28.866666666666674
58.6,28.833333333333343
58.6,28.833333333333343
58.6,28.866666666666674
58.6,28.866666666666674
58.6,28.866666666666674
58.6,28.866666666666674
58.6,28.866666666666674
58.6,28.866666666666674
58.6,28.86666666666666
58.61,28.799999999999997
58.61,28.766666666666666
58.61,28.733333333333334
58.61,28.666666666666657
58.61,28.666666666666657
58.61,28.63333333333334
58.61,28.60000000000001
58.61,28.599999999999994
58.61,28.566666666666663
58.61,28.53333333333333
58.62,28.53333333333333
58.62,28.53333333333333
58.62,28.566666666666663
58.62,28.599999999999994
58.62,28.666666666666657
58.62,28.69999999999999
58.62,28.69999999999999
58.62,28.733333333333334
58.62,28.799999999999997
58.62,28.83333333333333
58.63,28.83333333333333
58.63,28.799999999999997
58.63,28.766666666666666
58.63,28.733333333333334
58.63,28.666666666666657
58.63,28.66666666666667
58.63,28.633333333333326
58.63,28.566666666666663
58.63,28.566666666666663
58.63,28.53333333333333
58.63,28.400000000000006
58.64,28.53333333333333
58.64,28.599999999999994
58.64,28.60000000000001
58.64,28.633333333333326
58.64,28.63333333333334
58.64,28.66666666666667
58.64,28.633333333333326
58.64,28.700000000000003
58.64,28.66666666666667
58.64,28.566666666666663
58.65,28.700000000000003
58.65,28.700000000000003
58.65,28.633333333333326
58.65,28.60000000000001
58.65,28.599999999999994
58.65,28.566666666666677
58.65,28.53333333333333
58.65,28.566666666666663
58.65,28.53333333333333
58.65,28.433333333333337
58.66,28.53333333333333
58.66,28.60000000000001
58.66,28.633333333333326
58.66,28.733333333333334
58.66,28.766666666666666
58.66,28.799999999999997
58.66,28.866666666666674
58.66,28.96666666666667
58.66,29.0
58.66,29.03333333333333
58.674,29.03333333333333
58.68,29.133333333333326
58.68,29.16666666666667
58.68,29.16666666666667
58.68,29.19999999999999
58.68,29.16666666666667
58.68,29.166666666666657
58.68,29.133333333333326
58.68,29.166666666666657
58.68,29.133333333333326
58.68,29.03333333333333
58.69,29.166666666666657
58.69,29.200000000000003
58.69,29.16666666666667
58.69,29.13333333333334
58.69,29.166666666666657
58.69,29.13333333333334
58.69,29.13333333333334
58.69,29.16666666666667
58.69,29.133333333333326
58.69,29.066666666666663
58.7,29.19999999999999
58.7,29.233333333333334
58.7,29.233333333333334
58.7,29.200000000000003
58.7,29.19999999999999
58.7,29.200000000000003
58.7,29.200000000000003
58.7,29.200000000000003
58.7,29.200000000000003
58.7,29.10000000000001
58.71,29.10000000000001
58.71,29.066666666666663
58.71,29.03333333333333
58.71,29.0
58.71,29.0
58.71,28.96666666666667
58.71,28.96666666666667
58.71,28.96666666666667
58.71,28.96666666666667
58.71,28.96666666666667
58.72,29.03333333333333
58.72,29.099999999999994
58.72,29.166666666666657
58.72,29.19999999999999
58.72,29.19999999999999
58.72,29.233333333333334
58.72,29.233333333333334
58.72,29.266666666666666
58.72,29.299999999999997
58.72,29.299999999999997
58.73,29.266666666666666
58.73,29.200000000000003
58.73,29.16666666666667
58.73,29.200000000000003
58.73,29.16666666666667
